Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),Dirección sin cp,C.P.,Dirección,Población,Provincia,Zona,Comunidad autónoma,Barrio,Distrito,Comarca,Ámbito,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Banco de Tiempo de Menorca - Ciutadella,,Grupo/colectivo,Banco de tiempo - Comunitario,"Av. Constitució, 18",,"Av. Constitució, 18 ",07760,"Av. Constitució, 18 07760",Ciutadella de Menorca,Baleares,,Islas Baleares,,,,,40.0021682,3.8414371,971 381 004,,,bancdeltempsmenorca@gmail.com,,,,,,,,,,,,,,,,,2013-06-17 12:37:38
Banco de Tiempo de Menorca - Maó,,Grupo/colectivo,Banco de tiempo - Comunitario,"Camí des Castell, 53",,"Camí des Castell, 53 ",07702,"Camí des Castell, 53 07702",Maó,Baleares,,Islas Baleares,,,,,39.8869786,4.2679142,--,,,bancdeltempsmenorca@gmail.com,,,,,,,,,,,,,,,,,2013-06-17 12:22:45
Banco de Tiempo de Mérida,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Reyes Huertas s/n,- Centro de Mayores pl. 1 ,C/ Reyes Huertas s/n - Centro de Mayores pl. 1 ,06800,C/ Reyes Huertas s/n - Centro de Mayores pl. 1 06800,Mérida,Badajoz,,Extremadura,,,,,38.9182181,-6.3391649,924 303 934/ 615 012 389,,,aba.merida@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:50:56
Banco de Tiempo de Mesía,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Mesía,A Coruña,,Galicia,,,,,43.1135289,-8.2723859,981 687 001,,,,,,,,,,,,,,,,,,,,2013-06-07 20:01:03
Banco de Tiempo de Mijas,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Río Barbate (Zona Doña Ermita),,C/ Río Barbate (Zona Doña Ermita) ,29651,C/ Río Barbate (Zona Doña Ermita) 29651,Mijas,Málaga,,Andalucía,,,,,36.5663156,-4.6812086,952 663 574,,,bdtmijas@mijas.es,,,,,,,,,,,,,,,,,2013-06-07 20:01:07
Banco de Tiempo de Momo,,Grupo/colectivo,Banco de tiempo - Municipal,"Barrio de la Rañada, 25",,"Barrio de la Rañada, 25 ",39716,"Barrio de la Rañada, 25 39716",El Bosque,Cantabria,,Cantabria,,,,,43.3868494,-3.7263452,942 522 145 / 665 110 802,,,mujeresdelospueblos@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:01:18
Banco de Tiempo de Monda,,Grupo/colectivo,Banco de tiempo - Municipal,C/ del Llanete s/n,,C/ del Llanete s/n ,29110,C/ del Llanete s/n 29110,Monda,Málaga,,Andalucía,,,,,36.6296725,-4.8319736,667 424 516,,,bancodeltiempomonda@yahoo.es,,,,,,,,,,,,,,,,,2013-06-07 20:01:21
Banco de Tiempo de Monforte de Lemos,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Monforte de Lemos,Lugo,,Galicia,,,,,42.5190217,-7.5158063,982 416 350,,,obancodetempo@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:01:25
Banco de Tiempo de Monzón,,Otros,Banco de tiempo - Municipal,"Plaza Mayor, 4",,"Plaza Mayor, 4 ",22400,"Plaza Mayor, 4 22400",Monzón,Huesca,Aragon,Aragón,,,,,41.910798,0.1920456,974403009,671825120,974404807,,,,,2011,,Este Banco de Tiempo nació en 2011 con el objetivo de integrar a la población inmigrante y actualmente aspira a ser una red de contactos que genere capital humano y nos acerque cada día un poquito más a nuestros/as vecinos/as.,,,,,,,,,,,2015-01-20 15:10:41
Banco de Tiempo de Móstoles,,Grupo/colectivo,Banco de tiempo - Municipal,"Plaza del Turia 2, Local 7",,"Plaza del Turia 2, Local 7 ",,"Plaza del Turia 2, Local 7 ",Móstoles,Madrid,,Comunidad de Madrid,,,,,40.32135,-3.865003,,,,bancodeltiempomostoles@gmail.com,,,,,,,,,,,,,,,,,2013-06-17 09:31:24
Banco de Tiempo de Motril,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Río Ebro, 8 1º A",,"C/ Río Ebro, 8 1º A ",18600,"C/ Río Ebro, 8 1º A 18600",Motril,Granada,,Andalucía,,,,,36.7433096,-3.5228744,958 825 957 / 958 825 859,,,bancodeltiempo@motril.es,mujer@motril.es,,,,,,,,,,,,,,,,2013-06-07 20:01:43
Banco de Tiempo de Murcia,,Asociación,Banco de tiempo - Municipal,"Calle del Carmen, nº 32",Unidad de Trabajo Social Cabezo de Torres,"Unidad de Trabajo Social Cabezo de Torres - Calle del Carmen, nº 32",30110,"Unidad de Trabajo Social Cabezo de Torres - Calle del Carmen, nº 32 30110",El Cabezo de Torres,Murcia,,Región de Murcia,,,,,38.0255514,-1.1252025,689 691 589,968 87 97 10,,bancodeltiempo@ayto-murcia.es,,,,2005,,,,,,,,,,,,,2014-10-23 18:23:57
Banco de Tiempo de Nuevo Baztan,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. De Glasgow, s/n",,"Av. De Glasgow, s/n ",28514,"Av. De Glasgow, s/n 28514",Nuevo Baztan,Madrid,,Comunidad de Madrid,,,,,40.3583079,-3.2560131,918 734 158 / 918 734 865,,,juventud@ayto-nuevobaztan.es,,,,,,,,,,,,,,,,,2013-06-12 17:36:03
Banco de Tiempo de Otxarkoaga - Otxartruke,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Pau Casals, 194",,"Av. Pau Casals, 194 ",48004,"Av. Pau Casals, 194 48004",Bilbao,Vizcaya,,País Vasco,,,,,43.2587497,-2.9006583,944 120 387,,,,,,,,,,,,,,,,,,,,2013-06-07 20:02:59
Banco de Tiempo de Palencia,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,,Palencia,,Castilla y León,,,,,42.011121,-4.532032,,,,bdtpalencia@hotmail.es,,,,,,,,,,,,,,,,,2013-06-07 20:03:18
Banco de Tiempo de Paracuellos de Jarama,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. de la Constitución, 1",,"Pl. de la Constitución, 1 ",28860,"Pl. de la Constitución, 1 28860",Paracuellos Del Jarama,Madrid,,Comunidad de Madrid,,,,,40.38,-3.86,916 580 001 / 699 589 085,,,tiemposdetrueque@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:04:29
Banco de Tiempo de Parla,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Ramón y Cajal, 5",,"C/ Ramón y Cajal, 5 ",28981,"C/ Ramón y Cajal, 5 28981",Madrid,Madrid,,Comunidad de Madrid,,,,,40.2363406,-3.7733312,916 982 411,,,,,,,,,,,,,,,,,,,,2013-06-07 20:04:33
Banco de Tiempo de Paterna,,Grupo/colectivo,Banco de tiempo - Municipal,"C/Músico Antonio Cabeza, s/nº",,"C/Músico Antonio Cabeza, s/nº ",46980,"C/Músico Antonio Cabeza, s/nº 46980",Paterna,Valencia,,Comunidad Valenciana,,,,,39.503376,-0.437099,622 755 772,,,bdt@afamo.es,,,,,,,,,,,,,,,,,2013-06-07 20:04:38
Banco de Tiempo de Periana,,Grupo/colectivo,Banco de tiempo - Municipal,"Pº Bellavista, s/nº",,"Pº Bellavista, s/nº ",29710,"Pº Bellavista, s/nº 29710",Periana,Málaga,,Andalucía,,,,,36.9270448,-4.1896253,952 536 016,,,,,,,,,,,,,,,,,,,,2013-06-07 20:04:42
Banco de Tiempo de Pla de Palau,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Saragossa, 27",,"C/ Saragossa, 27 ",17003,"C/ Saragossa, 27 17003",Girona,Girona,,Cataluña,,,,,41.9708262,2.8188167,972 426 390,,,ccpalau@ajgirona.org,,,,,,,,,,,,,,,,,2013-06-07 20:04:48
Banco de Tiempo de Plasencia,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Plasencia,Cáceres,,Extremadura,,,,,40.030235,-6.087016,,,,elbordon@pruebanostop.com,,,,,,,,,,,,,,,,,2013-06-07 20:04:51
Banco de Tiempo de Poble Nou,,Grupo/colectivo,Banco de tiempo - Municipal,"Camí Antic de València, 96-116",Casal Bac de Roda ,"Casal Bac de Roda  - Camí Antic de València, 96-116",08019,"Casal Bac de Roda - Camí Antic de València, 96-116 08019",Barcelona,Barcelona,,Cataluña,,,,,41.40673,2.2038501,933 032 447,,,bdtpoblenou@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:16:46
"Banco de Tiempo de Puente de Vallecas, Villa de Vallecas y Villaverde - CAF4",,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Conde Rodríguez San Pedro, 59",,"C/ Conde Rodríguez San Pedro, 59 ",28053,"C/ Conde Rodríguez San Pedro, 59 28053",Madrid,Madrid,,Comunidad de Madrid,,,,,40.3835206,-3.67027,914 780 630,914 774 021,,caf-4@madrid.es,,,,,,,,,,,,,,,,,2014-03-31 09:28:23
Banco de Tiempo de Puerto de la Torre,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Victor Hugo, 5",,"C/ Victor Hugo, 5 ",29190,"C/ Victor Hugo, 5 29190",Malaga,Málaga,,Andalucía,,,,,36.7343542,-4.4834524,952 100 800,,,bdt.ceper@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:05:01
Banco de Tiempo de Puig de Sant Pere,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de los Corralasses, 4",,"C/ de los Corralasses, 4 ",07012,"C/ de los Corralasses, 4 07012",Palma De Mallorca,Baleares,,Islas Baleares,,,,,39.5697122,2.6425932,971 720 230,,,bdt.santpere@gmail.com,cculturalsantpere@gmail.com,,,,,,,,,,,,,,,,2013-06-17 09:24:23
Banco de Tiempo de Puigcerdà,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Regne de mallorca, baixos",,"Pl. Regne de mallorca, baixos ",17520,"Pl. Regne de mallorca, baixos 17520",Puigcerdà,Girona,,Cataluña,,,,,42.4335392,1.9291154,972 882 121,,,bancdeltempspuigcerda@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:05:10
Banco de Tiempo de Quart de Poblet,,Grupo/colectivo,Banco de tiempo - Municipal,C/ de Vicente Blasco Ibáñez,,C/ de Vicente Blasco Ibáñez ,46930,C/ de Vicente Blasco Ibáñez 46930,Quart de Poblet,Valencia,,Comunidad Valenciana,,,,,39.4576434,-0.4514649,961 521 231,,,dona@quartdepoblet.org,bdtquartdepoblet@gmail.com,,,,,,,,,,,,,,,,2015-05-27 12:39:28
Banco de Tiempo de Reus,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sta. Teresa, 22, 1er",,"C/ Sta. Teresa, 22, 1er ",43201,"C/ Sta. Teresa, 22, 1er 43201",Reus,Tarragona,,Cataluña,,,,,41.156211,1.1077258,977 910 672,,,bdtreus@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:05:18
Banco de Tiempo de Rivas Vaciamadrid,,Grupo/colectivo,Banco de tiempo - Municipal,"Avda. del Deporte s/n - Casa asoc., desp. Nº 0",,"Avda. del Deporte s/n - Casa asoc., desp. Nº 0 ",28529,"Avda. del Deporte s/n - Casa asoc., desp. Nº 0 28529",Rivas Vaciamadrid,Madrid,,Comunidad de Madrid,,,,,40.326824,-3.517985,913 222 346,,,intertiempoderivas@yahoo.es,,,,,,,,,,,,,,,,,2013-06-07 20:05:54
Banco de Tiempo de Rubí,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Joan Puig,local 2 ,C/ Joan Puig local 2 ,08191,C/ Joan Puig local 2 08191,Rubí,Barcelona,,Cataluña,,,,,41.483998,2.0325254,935 885 005,,,tempsnostre@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:17:36
Banco de Tiempo de Russafa,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Pedro III el Grande, 26, esq. Dr. Sumsi",,"C/ Pedro III el Grande, 26, esq. Dr. Sumsi ",46006,"C/ Pedro III el Grande, 26, esq. Dr. Sumsi 46006",Valencia,Valencia,,Comunidad Valenciana,,,,,39.4699075,-0.3762881,,,,bdtrussafa@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:06:04
Banco de Tiempo de Sabadell,,Grupo/colectivo,Banco de tiempo - Municipal,"Ctra. Prats de Lluçanés, 2",Cal Balsach,"Cal Balsach - Ctra. Prats de Lluçanés, 2",08208,"Cal Balsach - Ctra. Prats de Lluçanés, 2 08208",Sabadell,Barcelona,,Cataluña,,,,,41.5560263,2.1021911,937 172 392,,,xarxa.sabadell@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:18:10
Banco de Tiempo de Sagrada Familia,,Grupo/colectivo,Banco de tiempo - Municipal,"C/Padilla, 210",Espai 210,"Espai 210 - C/Padilla, 210",08013,"Espai 210 - C/Padilla, 210 08013",Barcelona,Barcelona,,Cataluña,,,,,41.4039541,2.179643,932 653 645,,,bdtsagradafamilia@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:18:40
Banco de Tiempo de Salamanca,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Transportistas, 3 bajo",,"C/ Transportistas, 3 bajo ",37006,"C/ Transportistas, 3 bajo 37006",Salamanca,Salamanca,,Castilla y León,,,,,40.97442,-5.6675367,923 123 119,,,secretaria@bdtsalamanca.org,salamancabdt@gmail.com,http://www.bdtsalamanca.org/,,,,,,,,,,,,,,,2013-07-20 19:24:22
"Banco de Tiempo de Salamanca, Retiro, Vicálvaro y Moratalaz - CAF5",,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de la Fuente Carrantona, 12",,"C/ de la Fuente Carrantona, 12 ",28030,"C/ de la Fuente Carrantona, 12 28030",Madrid,Madrid,,Comunidad de Madrid,,,,,40.4061508,-3.632331,915 648 184,,915 647 705,caf-5@madrid.es,,,,,,,,,,,,,,,,,2014-03-19 08:59:00
Banco de Tiempo de San Anton,,Grupo/colectivo,Banco de tiempo - Municipal,C/ de San Lázaro,,C/ de San Lázaro ,16002,C/ de San Lázaro 16002,Cuenca,Cuenca,,Castilla-La Mancha,,,,,40.0791165,-2.1386297,969 235 917,,,bancodeltiemposananton@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:06:22
Banco de Tiempo de San Javier,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Bernal, 13",,"C/ Bernal, 13 ",30720,"C/ Bernal, 13 30720",Santiago de La Ribera,Murcia,,Región de Murcia,,,,,37.7991141,-0.8050798,968 190 782,,,bancodeltiempo@sanjavier.es,,,,,,,,,,,,,,,,,2013-06-07 20:06:57
Banco de Tiempo de Sant Cugat,,Grupo/colectivo,Banco de tiempo - Municipal,"Jardins del Monestir, s/n",Casa de Cultura,"Casa de Cultura - Jardins del Monestir, s/n",08172,"Casa de Cultura - Jardins del Monestir, s/n 08172",Sant Cugat,Barcelona,,Cataluña,,,,,41.4699731,2.0836809,936 746 351,,,bancdeltemps@santcugat.cat,,,,,,,,,,,,,,,,,2013-06-09 23:19:11
Banco de Tiempo de Sant Joan Despí,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Barcelona, 41-45",L'Area a la Persona,"L'Area a la Persona - Av. Barcelona, 41-45",08970,"L'Area a la Persona - Av. Barcelona, 41-45 08970",Sant Joan Despí,Barcelona,,Cataluña,,,,,41.3681706,2.0684906,934 770 051 (ext.2137),,,bancdeltemps@sjdespi.net,,,,,,,,,,,,,,,,,2013-06-09 23:23:29
Banco de Tiempo de Sant Josep,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Consulturi, 5",,"C/ Consulturi, 5 ",07830,"C/ Consulturi, 5 07830",Sant Josep,Baleares,,Islas Baleares,,,,,38.908951,1.428115,971 800 975,,,,,,,,,,,,,,,,,,,,2013-06-10 00:10:28
Banco de Tiempo de Sant Martí,,Grupo/colectivo,Banco de tiempo - Municipal,"Gran Via de les Corts Catalanes, 837 - Centre Cívic La Farinera",,"Gran Via de les Corts Catalanes, 837 - Centre Cívic La Farinera ",08018,"Gran Via de les Corts Catalanes, 837 - Centre Cívic La Farinera 08018",Barcelona,Barcelona,,Cataluña,,,,,41.4046434,2.1883083,932 918 404,,,bdtsanmarti@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:07:14
Banco de Tiempo de Sant Vicent del Raspeig,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,03690, 03690,Sant Vicent Del Raspeig,Alicante,,Comunidad Valenciana,,,,,38.427072,-0.551032,610 435 021 / 669 022 449,,,bdt@bdtsanvicente.org,,,,,,,,,,,,,,,,,2013-06-07 20:07:19
Banco de Tiempo de Santa Brígida,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Tenderete, 7",,"C/ Tenderete, 7 ",35300,"C/ Tenderete, 7 35300",Santa Brigida,Las Palmas,,Canarias,,,,,28.0336573,-15.4989715,928 640 072,,,,,,,,,,,,,,,,,,,,2013-06-07 20:07:23
Banco de Tiempo de Santa Cristina d'Aro,,Grupo/colectivo,Banco de tiempo - Municipal,Punt d'Igualdad de Santa Cristina d'Aro,,Punt d'Igualdad de Santa Cristina d'Aro ,17246,Punt d'Igualdad de Santa Cristina d'Aro 17246,Santa Cristina d'Aro,Girona,,Cataluña,,,,,41.8137777,2.9972986,972 837 391,,,igualtat@santacristina.net,,,,,,,,,,,,,,,,,2013-06-07 20:07:30
Banco de Tiempo de Santa Lucía,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Garajonay, 1 - Centro de Dia Sardina del Sur",,"C/ Garajonay, 1 - Centro de Dia Sardina del Sur ",35110,"C/ Garajonay, 1 - Centro de Dia Sardina del Sur 35110",Santa Lucia,Las Palmas,,Canarias,,,,,27.856054,-15.4595306,928 759 746,,,,,,,,,,,,,,,,,,,,2013-06-07 20:07:34
Banco de Tiempo de Santa Marta de Tormes,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Santa Marta de Tormes,Salamanca,,Castilla y León,,,,,40.9497273,-5.6262751,,,,bancodetiempodesantamarta@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:07:38
Banco de Tiempo de Santander,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ General Dávila, 124",,"C/ General Dávila, 124 ",39002,"C/ General Dávila, 124 39002",Santander,Cantabria,,Cantabria,,,,,43.4675058,-3.8059331,942 200 833 / 942 203 130,,,voluntariado@ayto-santander.es,,,,,,,,,,,,,,,,,2013-06-07 20:07:42
Banco de Tiempo de Santiago de Compostela,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Isaac Díaz Pardo 2-4 (Zona Galeras),,C/ Isaac Díaz Pardo 2-4 (Zona Galeras) ,15705,C/ Isaac Díaz Pardo 2-4 (Zona Galeras) 15705,Santiago,A Coruña,,Galicia,,,,,42.8970535,-8.5418899,981 542 465,,,,,,,,,,,,,,,,,,,,2013-06-07 20:07:45
Banco de Tiempo de Santomera,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de las Cuatro Esquinas, 58 - Casa Grande",,"C/ de las Cuatro Esquinas, 58 - Casa Grande ",30140,"C/ de las Cuatro Esquinas, 58 - Casa Grande 30140",Santomera,Murcia,,Región de Murcia,,,,,38.062259,-1.045205,9688 860 633,,,,,,,,,,,,,,,,,,,,2013-06-07 20:07:57
Banco de Tiempo de Sants,,Grupo/colectivo,Banco de tiempo - Comunitario,"C/ Numància, 7-11",,"C/ Numància, 7-11 ",08029,"C/ Numància, 7-11 08029",Barcelona,Barcelona,,Cataluña,,,,,41.3812446,2.1412523,,,,bdtsants@gmail.com,,http://www.bancdetempsdesants.org/,,,,,,,,,,,,,,,2013-11-12 11:41:34
Banco de Tiempo de Sarrià-Sant Gervasi,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Jaume Piquet, 23 - Assoc. Cultural Casa Orlandai",,"C/ Jaume Piquet, 23 - Assoc. Cultural Casa Orlandai ",08017,"C/ Jaume Piquet, 23 - Assoc. Cultural Casa Orlandai 08017",Barcelona,Barcelona,,Cataluña,,,,,41.3983289,2.1246602,932 524 262,,,bancdeltemps@casaorlandai.cat,,,,,,,,,,,,,,,,,2013-06-07 20:08:35
Banco de Tiempo de Sitges,,Grupo/colectivo,Banco de tiempo - Municipal,Plaça Catalunya,Assoc. De Dones de Sitges. Centre Cívic Poble Sec,Assoc. De Dones de Sitges. Centre Cívic Poble Sec - Plaça Catalunya,08870,Assoc. De Dones de Sitges. Centre Cívic Poble Sec - Plaça Catalunya 08870,Sitges,Barcelona,,Cataluña,,,,,41.2355705,1.8068494,938 111 166,,,igualtat@gmail.com,donessitges@gmail.com,http://bancdeltempssitges.org/,,,,,,,,,,,,,,,2013-12-02 09:56:16
Banco de Tiempo de Son Roca,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Cap Formentor, 13 1ª Planta",,"C/ Cap Formentor, 13 1ª Planta ",07013,"C/ Cap Formentor, 13 1ª Planta 07013",Palma De Mallorca,Baleares,,Islas Baleares,,,,,39.5868256,2.5941239,971 790 729 / 651 516 173,,,reditsr@hotmail.com,,,,,,,,,,,,,,,,,2013-06-10 00:04:08
Banco de Tiempo de Soria,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Termancia, 5 - Bar Bristol",,"C/ Termancia, 5 - Bar Bristol ",42001,"C/ Termancia, 5 - Bar Bristol 42001",Soria,Soria,,Castilla y León,,,,,41.7094169,-1.944132,,,,bancodetiemposoria@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:09:01
Banco de Tiempo de Sta. María de Palautordera,,Grupo/colectivo,Banco de tiempo - Municipal,"Carrer Consolat de Mar, s/n  ",Centre Cívic,"Centre Cívic - Carrer Consolat de Mar, s/n  ",08460,"Centre Cívic - Carrer Consolat de Mar, s/n 08460",Santa María De Palautordera,Barcelona,,Cataluña,,,,,41.6923244,2.4468543,648 888 791,,,bdtpalau@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:26:10
Banco de Tiempo de Sta. Perpétua de Mogoda,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Enric Granados, s/n",Centre Cívic El Vapor,"Centre Cívic El Vapor - C/ Enric Granados, s/n",08130,"Centre Cívic El Vapor - C/ Enric Granados, s/n 08130",Sta. Perpètua De Mogoda,Barcelona,,Cataluña,,,,,41.5362149,2.180781,935 600 248,,,bancdeltemps.staperpetua@hotmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:26:38
Banco de Tiempo de Talavera de la Reina,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de la Cerería, 25 entrepl.",,"C/ de la Cerería, 25 entrepl. ",45600,"C/ de la Cerería, 25 entrepl. 45600",Talavera de la Reina,Toledo,,Castilla-La Mancha,,,,,39.962884,-4.8304536,,,,economiaalternativatalavera@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:09:12
Banco de Tiempo de Tarifa,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Tarifa,Cádiz,,Andalucía,,,,,36.018776,-5.600819,,,,bancodeltiempotarifa@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:09:15
Banco de Tiempo de Terrassa,,Grupo/colectivo,Banco de tiempo - Municipal,"Avda. Àngel Sallent, 55",C. Cívic Mª Aurèlia Capmany ,"C. Cívic Mª Aurèlia Capmany  - Avda. Àngel Sallent, 55",08224,"C. Cívic Mª Aurèlia Capmany - Avda. Àngel Sallent, 55 08224",Terrassa,Barcelona,,Cataluña,,,,,41.5574335,2.0000485,937 333 098,,,,,,,,,,,,,,,,,,,,2013-06-09 23:27:07
"Banco de Tiempo de Tetuán, Fuencarrral-El Pardo y Chamartin - CAF6",,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Buitrago de Lozoya, 22",,"C/ Buitrago de Lozoya, 22 ",28035,"C/ Buitrago de Lozoya, 22 28035",Madrid,Madrid,,Comunidad de Madrid,,,,,40.4605289,-3.7083493,913 981 438,,913 117 542,caf-6@madrid.es,,,,,,,,,,,,,,,,,2014-03-19 08:59:30
Banco de Tiempo de Toledo (Asociación La Clave Social Castilla-La Mancha),,Asociación,Banco de tiempo - Municipal,"C/ Ciudadado 7, 1º pl.",,"C/ Ciudadado 7, 1º pl. ",45006,"C/ Ciudadado 7, 1º pl. 45006",Toledo,Toledo,,Castilla-La Mancha,,,,,39.8612181,-4.0026237,,603 84 64 61,,laclavesocial@gmail.com,,,,2014,,"El Banco del Tiempo de Toledo es un sistema gratuito de intercambio de tiempo entre hombres y mujeres, donde se pueden compartir:
- Conocimientos
- Habilidades
- Experiencias

La moneda de pago es el tiempo que tarda cada persona en realizar el servicio.

Todos los intercambios tienen el mismo valor.

Pueden participar todas las personas que deseen intercambiar tareas, aprender nuevos conocimientos, aprender aficiones y conocer gente nueva.

Las actividades se puedes realizar de manera grupal o individual.
",,,,,,,,,,,2014-11-20 19:12:40
Banco de Tiempo de Tolosa,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Tolosa,Gipuzkoa,,País Vasco,,,,,40.38,-3.86,943 670 383,,,bancodeltiempotolosa@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:10:29
Banco de Tiempo de Torreblanca,,Asociación,Banco de tiempo - Comunitario,"C/ San Jaime, 10",,"C/ San Jaime, 10 ",12596,"C/ San Jaime, 10 12596",Torreblanca,Castellón,,Comunidad Valenciana,,,,,40.2204433,0.1959207,964420379,,,bdttorreblanca@outlook.com,,http://bancodetiempodetorreblanca.blogspot.com.es/,,2013,,,,,,,,,,,,,2013-11-22 10:06:42
Banco de Tiempo de Torrevieja,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Torrevieja,Alicante,,Comunidad Valenciana,,,,,37.9847003,-0.6808233,699 467 962,,,bancodetiempotorrevieja@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:10:37
Banco de Tiempo de Triana,,Asamblea,Banco de tiempo - Comunitario,"Centro Cívico Las Columnas, en la calle  Pureza, 79.",,"Centro Cívico Las Columnas, en la calle  Pureza, 79. ",,"Centro Cívico Las Columnas, en la calle Pureza, 79. ",Sevilla,Sevilla,,Andalucía,,,,,37.3831423,-6.0002632,,,,bancodeltiempotriana@gmail.com,,http://bancodeltiempotriana.blogspot.com.es/,,,,Banco de Tiempo surgido a partir del 15M,,,,,,,,,,,2015-07-23 14:44:42
Banco de Tiempo de Úbeda,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. De la Constitución, 10 - bakp",,"Av. De la Constitución, 10 - bakp ",23400,"Av. De la Constitución, 10 - bakp 23400",Úbeda,Jaén,,Andalucía,,,,,38.0104592,-3.3772307,953 793 634,,,info@bancodeltiempoubeda.com,,,,,,,,,,,,,,,,,2013-06-07 20:10:47
Banco de Tiempo de Valdemorillo,,Espacio de ocio,Banco de tiempo - Municipal,Casa de la Juventud,,Casa de la Juventud ,28210,Casa de la Juventud 28210,Valdemorillo,Madrid,Madrid Noroeste,Comunidad de Madrid,,,Madrid Noroeste,Comarca,40.4991765,-4.067629,,,,,,,,2013,,,,,,,,,,,,,2014-05-19 22:52:45
Banco de Tiempo de Valdemoro,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Apolo 22,,C/ Apolo 22 ,,C/ Apolo 22 ,Valdemoro,Madrid,,Comunidad de Madrid,,,,,40.1791124,-3.6807557,918 099 966,,,,,,,,,,,,,,,,,,,,2013-06-07 20:10:54
